"Species","GeneID","Elements","GeneName","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"P.trichocarpa_v4.1","Potri.003G056200","P",NA,NA,NA,NA,NA,"Inferred","OsSPDT",NA,"AT3G15990","Glyma.07G006500, Glyma.08G207100, Glyma.13G360000, Glyma.15G014000","Medtr4g011970, Medtr2g102243","LOC_Os06g05160","Potri.001G179400, Potri.003G056200","Sobic.010G033800","Seita.4G032500","Sevir.4G031300","VIT_209s0002g04780, VIT_211s0016g04150","Zm00001d000204"
"P.trichocarpa_v4.1","Potri.003G072400","S",NA,NA,NA,NA,NA,"Inferred","AtAT3G14280",NA,"AT3G14280","Glyma.03G263400, Glyma.19G262400, Glyma.07G045700, Glyma.16G013600","Medtr7g117550, Medtr8g023100","LOC_Os02g54180, LOC_Os06g09350","Potri.003G072400, Potri.001G163100","Sobic.010G071500, Sobic.004G321500, Sobic.010G071400","Seita.1G179900, Seita.2G256600, Seita.1G342900, Seita.4G041800, Seita.4G042000","Sevir.2G267450, Sevir.8G253632, Sevir.1G349900, Sevir.4G039500, Sevir.4G039600","VIT_209s0002g00370","Zm00001d037097"
"P.trichocarpa_v4.1","Potri.003G074400","Fe,Zn,Mn,Co",NA,NA,NA,NA,NA,"Inferred","AtPYE",NA,"AT3G47640","Glyma.05G027600, Glyma.17G098900","Medtr4g108360","LOC_Os03g26210, LOC_Os07g43530","Potri.015G142700, Potri.003G074400","Sobic.001G355600, Sobic.002G385300","Seita.9G384500, Seita.2G400400","Sevir.9G389000, Sevir.2G412100","VIT_214s0108g00480, VIT_217s0000g06000","Zm00001d029339, Zm00001d022225"
"P.trichocarpa_v4.1","Potri.003G088800","K",NA,NA,NA,NA,NA,"Inferred","AtNRT1.5/NPF7.3",NA,"AT4G21680, AT1G32450","Glyma.09G237600, Glyma.18G097800, Glyma.18G260000, Glyma.05G070600, Glyma.17G153300, Glyma.01G200100, Glyma.11G042000","Medtr7g010820, Medtr4g098800, Medtr5g014150","","Potri.014G179400, Potri.003G088800, Potri.001G145200","","","","VIT_215s0021g00330, VIT_202s0012g01160",""
"P.trichocarpa_v4.1","Potri.003G121700","P",NA,NA,NA,NA,NA,"Inferred","AtLPCAT1",NA,"AT1G12640, AT1G63050","Glyma.05G049500, Glyma.17G131500","Medtr4g102750","LOC_Os02g45344","Potri.001G110100, Potri.003G121700","Sobic.004G283600","Seita.1G270400","Sevir.1G275100","VIT_202s0025g04410","Zm00001d017584"
"P.trichocarpa_v4.1","Potri.003G125600","Cu",NA,NA,NA,NA,NA,"Inferred","AtHMA5,OsHMA5",NA,"AT1G63440","Glyma.01G219100, Glyma.08G013600, Glyma.19G140000, Glyma.01G219000","Medtr8g079250, Medtr5g010420","LOC_Os04g46940","Potri.001G105800, Potri.003G125600, Potri.003G125700","Sobic.006G173800, Sobic.006G173700","Seita.7G194000, Seita.7G193900","Sevir.7G206000, Sevir.7G205900","VIT_202s0025g03640, VIT_202s0025g03630","Zm00001d002705, Zm00001d002708"
"P.trichocarpa_v4.1","Potri.003G125700","Cu",NA,NA,NA,NA,NA,"Inferred","AtHMA5,OsHMA5",NA,"AT1G63440","Glyma.01G219100, Glyma.08G013600, Glyma.19G140000, Glyma.01G219000","Medtr8g079250, Medtr5g010420","LOC_Os04g46940","Potri.001G105800, Potri.003G125600, Potri.003G125700","Sobic.006G173800, Sobic.006G173700","Seita.7G194000, Seita.7G193900","Sevir.7G206000, Sevir.7G205900","VIT_202s0025g03640, VIT_202s0025g03630","Zm00001d002705, Zm00001d002708"
"P.trichocarpa_v4.1","Potri.003G126900","Cd,As",NA,NA,NA,NA,NA,"Inferred","AtGSH1",NA,"AT4G23100","Glyma.01G219900, Glyma.08G014300, Glyma.05G207600","Medtr5g010250, Medtr5g010230, Medtr8g098350","LOC_Os07g27790, LOC_Os05g03820","Potri.001G104500, Potri.003G126900","Sobic.009G029600","Seita.3G050000","Sevir.3G050100","VIT_202s0025g03530","Zm00001d010950"
"P.trichocarpa_v4.1","Potri.003G156200","Cs,K,Mg",NA,NA,NA,NA,NA,"Inferred","AtGSO1/SGN3",NA,"AT5G44700, AT4G20140","Glyma.08G090000, Glyma.05G134800, Glyma.09G048300, Glyma.15G155600","Medtr4g094790, Medtr2g437730","LOC_Os07g31500","Potri.001G075000, Potri.003G156200","Sobic.002G308200","Seita.2G320400","Sevir.2G331800","VIT_201s0010g03820, VIT_201s0010g00380","Zm00001d021535"
"P.trichocarpa_v4.1","Potri.003G174600","Mn,Fe",NA,NA,NA,NA,NA,"Inferred","AtCMT1",NA,"AT4G13590","Glyma.10G127000","Medtr1g046730","LOC_Os11g34180","Potri.001G053600, Potri.003G174600","Sobic.006G021800","Seita.7G040400","Sevir.7G028100","VIT_205s0051g00440","Zm00001d004400"
"P.trichocarpa_v4.1","Potri.003G180900","B",NA,NA,NA,NA,NA,"Inferred","AtNIP6;1",NA,"AT1G80760","Glyma.15G003900, Glyma.14G144900","Medtr2g104940, Medtr4g006730, Medtr4g006630, Medtr4g006650, Medtr0793s0010","","Potri.003G180900, Potri.001G046800","","","","VIT_209s0070g00080",""
"P.trichocarpa_v4.1","Potri.004G011525","S,Se",NA,NA,NA,NA,NA,"Inferred","AtAPR2",NA,"AT4G04610, AT4G21990, AT1G62180","Glyma.07G261500, Glyma.09G004400, Glyma.15G108700","Medtr2g023540","LOC_Os07g32570","Potri.004G011525, Potri.004G012100","Sobic.002G314300","Seita.2G327500","Sevir.2G338800","VIT_212s0059g00760, VIT_200s1490g00010, VIT_210s0116g01650","Zm00001d006467, Zm00001d021596"
"P.trichocarpa_v4.1","Potri.004G012100","S,Se",NA,NA,NA,NA,NA,"Inferred","AtAPR2",NA,"AT4G04610, AT4G21990, AT1G62180","Glyma.07G261500, Glyma.09G004400, Glyma.15G108700","Medtr2g023540","LOC_Os07g32570","Potri.004G011525, Potri.004G012100","Sobic.002G314300","Seita.2G327500","Sevir.2G338800","VIT_212s0059g00760, VIT_200s1490g00010, VIT_210s0116g01650","Zm00001d006467, Zm00001d021596"
"P.trichocarpa_v4.1","Potri.004G031800","Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,NA,"Inferred","AtILR3,OsPRI1",NA,"AT5G54680, AT1G51070","Glyma.15G063000, Glyma.15G062600, Glyma.12G196700, Glyma.13G305500, Glyma.12G136300, Glyma.06G266800, Glyma.13G286700, Glyma.12G214900","Medtr2g089000, Medtr4g081370, Medtr2g082640","LOC_Os08g04390, LOC_Os07g35870","Potri.004G031800, Potri.011G031000, Potri.001G416600, Potri.011G132400","Sobic.007G033800, Sobic.002G329300","Seita.6G069500, Seita.2G342600","Sevir.6G068300, Sevir.2G352900","VIT_200s0532g00050, VIT_219s0014g05100, VIT_212s0059g02650","Zm00001d027911, Zm00001d046173, Zm00001d049384, Zm00001d046571, Zm00001d024679, Zm00001d021701"
"P.trichocarpa_v4.1","Potri.004G034700","Cd,As",NA,NA,NA,NA,NA,"Inferred","AtABCC1,OsABCC1",NA,"AT2G34660, AT1G30400, AT1G30410, AT1G30420","Glyma.15G092400, Glyma.13G220000, Glyma.06G312300","Medtr2g019020, Medtr3g011820, Medtr3g011840","LOC_Os04g52900","Potri.011G091200.12.p, Potri.004G034700, Potri.004G034800, Potri.011G043100","Sobic.010G093800, Sobic.006G219300","Seita.7G241100","Sevir.7G252600","VIT_210s0003g04390, VIT_210s0003g04470","Zm00001d002275"
"P.trichocarpa_v4.1","Potri.004G034800","Cd,As",NA,NA,NA,NA,NA,"Inferred","AtABCC1,OsABCC1",NA,"AT2G34660, AT1G30400, AT1G30410, AT1G30420","Glyma.15G092400, Glyma.13G220000, Glyma.06G312300","Medtr2g019020, Medtr3g011820, Medtr3g011840","LOC_Os04g52900","Potri.011G091200.12.p, Potri.004G034700, Potri.004G034800, Potri.011G043100","Sobic.010G093800, Sobic.006G219300","Seita.7G241100","Sevir.7G252600","VIT_210s0003g04390, VIT_210s0003g04470","Zm00001d002275"
"P.trichocarpa_v4.1","Potri.004G043500","P",NA,NA,NA,NA,NA,"Inferred","AtPHO2,OsPHO2",NA,"AT2G33770","Glyma.18G170400, Glyma.15G074200, Glyma.13G239100, Glyma.13G179600, Glyma.07G196500, Glyma.06G090000","Medtr4g020620, Medtr2g013650, Medtr4g088835","LOC_Os05g48390","Potri.011G052600, Potri.004G043500","Sobic.009G228100","Seita.3G150400","Sevir.3G153100","VIT_200s0265g00070","Zm00001d038972"
"P.trichocarpa_v4.1","Potri.004G063000","Al,As",NA,NA,NA,NA,NA,"Inferred","AtNIP1;2,OsNIP1;1",NA,"AT4G19030, AT4G18910","Glyma.05G162500, Glyma.08G120100, Glyma.08G120200, Glyma.05G162600, Glyma.13G224900, Glyma.15G087300","Medtr8g087710, Medtr8g087720, Medtr2g017660, Medtr2g017620, Medtr2g017590, Medtr2g017610, Medtr2g017570","LOC_Os02g13870","Potri.011G072100, Potri.004G063000","Sobic.004G102200","Seita.1G025100","Sevir.1G025500","VIT_210s0003g01830","Zm00001d016237"
"P.trichocarpa_v4.1","Potri.004G079100","Fe",NA,NA,NA,NA,NA,"Inferred","AtFRO2",NA,"AT5G23990, AT5G23980, AT1G01580, AT1G23020, AT1G01590","Glyma.10G231600, Glyma.10G231700, Glyma.18G235900, Glyma.16G033800, Glyma.07G067700","Medtr1g100130, Medtr1g100150, Medtr8g031070, Medtr8g028780, Medtr8g028795","LOC_Os04g48930","Potri.017G142800, Potri.004G079200, Potri.004G079100, Potri.017G142700, Potri.014G088000","","","","VIT_216s0050g00990, VIT_216s0050g00980, VIT_215s0046g01900, VIT_215s0046g01920",""
"P.trichocarpa_v4.1","Potri.004G079200","Fe",NA,NA,NA,NA,NA,"Inferred","AtFRO2",NA,"AT5G23990, AT5G23980, AT1G01580, AT1G23020, AT1G01590","Glyma.10G231600, Glyma.10G231700, Glyma.18G235900, Glyma.16G033800, Glyma.07G067700","Medtr1g100130, Medtr1g100150, Medtr8g031070, Medtr8g028780, Medtr8g028795","LOC_Os04g48930","Potri.017G142800, Potri.004G079200, Potri.004G079100, Potri.017G142700, Potri.014G088000","","","","VIT_216s0050g00990, VIT_216s0050g00980, VIT_215s0046g01900, VIT_215s0046g01920",""
"P.trichocarpa_v4.1","Potri.004G080200","Al",NA,NA,NA,NA,NA,"Inferred","OsEXPA10",NA,"AT3G03220","Glyma.02G240900, Glyma.14G210500","Medtr5g076950","LOC_Os04g49410","Potri.004G080200, Potri.017G140000","Sobic.006G191700","Seita.7G212500","Sevir.7G224300","VIT_204s0079g00420","Zm00001d002548, Zm00001d026014"
"P.trichocarpa_v4.1","Potri.004G129900","P",NA,NA,NA,NA,NA,"Inferred","AtVIH2,AtVIH1",NA,"AT3G01310, AT5G15070","Glyma.13G065500, Glyma.19G019100, Glyma.18G255000, Glyma.09G241100","Medtr6g011290, Medtr7g009060","LOC_Os03g48300, LOC_Os01g56960, LOC_Os01g56980","Potri.017G076400, Potri.004G129900","Sobic.001G132600, Sobic.005G110505, Sobic.003G315166","Seita.9G135000, Seita.5G338800","Sevir.9G133900, Sevir.5G343000","VIT_214s0066g02540","Zm00001d033551"
"P.trichocarpa_v4.1","Potri.004G175200","Zn",NA,NA,NA,NA,NA,"Inferred","AtbZIP23,AtbZIP19",NA,"AT4G35040, AT2G16770","Glyma.11G108100, Glyma.12G033000","Medtr4g073100","LOC_Os06g50310","Potri.004G175200, Potri.009G134900","Sobic.010G267500","Seita.9G059700, Seita.4G281600","Sevir.9G058800, Sevir.4G293800","VIT_203s0038g02420","Zm00001d036400, Zm00001d014795"
"P.trichocarpa_v4.1","Potri.004G206400","Cu,Zn",NA,NA,NA,NA,NA,"Inferred","AtMT4b,AtMT4a",NA,"AT2G42000, AT2G23240","Glyma.18G157800, Glyma.08G346600","Medtr8g012330, Medtr7g053460","LOC_Os10g39610","Potri.009G167700, Potri.004G206400","Sobic.001G311200","Seita.9G339800","Sevir.9G343900","","Zm00001d029778"
"P.trichocarpa_v4.1","Potri.005G048066","As,S,Se",NA,NA,NA,NA,NA,"Inferred","OsASTOL1",NA,"AT5G28030, AT5G28020, AT3G04940, AT3G22460, AT4G14880","Glyma.15G262500, Glyma.10G159700, Glyma.20G228900, Glyma.10G159800, Glyma.03G244800, Glyma.19G242300, Glyma.20G148100, Glyma.11G005800","Medtr1g081625, Medtr1g081640, Medtr1g081620, Medtr1g081610, Medtr1g103690, Medtr5g006340","LOC_Os12g42980, LOC_Os03g53650","Potri.013G035200, Potri.005G048066, Potri.005G048132, Potri.005G048400, Potri.005G048700, Potri.013G035500, Potri.008G153300","Sobic.008G179900, Sobic.006G077900","Seita.3G397200, Seita.7G096600","Sevir.3G415300, Sevir.7G104400","VIT_214s0030g01520, VIT_214s0030g01550, VIT_214s0030g01540","Zm00001d031136, Zm00001d003717"
"P.trichocarpa_v4.1","Potri.005G048132","As,S,Se",NA,NA,NA,NA,NA,"Inferred","OsASTOL1",NA,"AT5G28030, AT5G28020, AT3G04940, AT3G22460, AT4G14880","Glyma.15G262500, Glyma.10G159700, Glyma.20G228900, Glyma.10G159800, Glyma.03G244800, Glyma.19G242300, Glyma.20G148100, Glyma.11G005800","Medtr1g081625, Medtr1g081640, Medtr1g081620, Medtr1g081610, Medtr1g103690, Medtr5g006340","LOC_Os12g42980, LOC_Os03g53650","Potri.013G035200, Potri.005G048066, Potri.005G048132, Potri.005G048400, Potri.005G048700, Potri.013G035500, Potri.008G153300","Sobic.008G179900, Sobic.006G077900","Seita.3G397200, Seita.7G096600","Sevir.3G415300, Sevir.7G104400","VIT_214s0030g01520, VIT_214s0030g01550, VIT_214s0030g01540","Zm00001d031136, Zm00001d003717"
"P.trichocarpa_v4.1","Potri.005G048400","As,S,Se",NA,NA,NA,NA,NA,"Inferred","OsASTOL1",NA,"AT5G28030, AT5G28020, AT3G04940, AT3G22460, AT4G14880","Glyma.15G262500, Glyma.10G159700, Glyma.20G228900, Glyma.10G159800, Glyma.03G244800, Glyma.19G242300, Glyma.20G148100, Glyma.11G005800","Medtr1g081625, Medtr1g081640, Medtr1g081620, Medtr1g081610, Medtr1g103690, Medtr5g006340","LOC_Os12g42980, LOC_Os03g53650","Potri.013G035200, Potri.005G048066, Potri.005G048132, Potri.005G048400, Potri.005G048700, Potri.013G035500, Potri.008G153300","Sobic.008G179900, Sobic.006G077900","Seita.3G397200, Seita.7G096600","Sevir.3G415300, Sevir.7G104400","VIT_214s0030g01520, VIT_214s0030g01550, VIT_214s0030g01540","Zm00001d031136, Zm00001d003717"
"P.trichocarpa_v4.1","Potri.005G048700","As,S,Se",NA,NA,NA,NA,NA,"Inferred","OsASTOL1",NA,"AT5G28030, AT5G28020, AT3G04940, AT3G22460, AT4G14880","Glyma.15G262500, Glyma.10G159700, Glyma.20G228900, Glyma.10G159800, Glyma.03G244800, Glyma.19G242300, Glyma.20G148100, Glyma.11G005800","Medtr1g081625, Medtr1g081640, Medtr1g081620, Medtr1g081610, Medtr1g103690, Medtr5g006340","LOC_Os12g42980, LOC_Os03g53650","Potri.013G035200, Potri.005G048066, Potri.005G048132, Potri.005G048400, Potri.005G048700, Potri.013G035500, Potri.008G153300","Sobic.008G179900, Sobic.006G077900","Seita.3G397200, Seita.7G096600","Sevir.3G415300, Sevir.7G104400","VIT_214s0030g01520, VIT_214s0030g01550, VIT_214s0030g01540","Zm00001d031136, Zm00001d003717"
"P.trichocarpa_v4.1","Potri.005G075300","Fe,Zn",NA,NA,NA,NA,NA,"Inferred","OsRab6a",NA,"AT5G64990, AT4G39890, AT2G22290, AT5G10260","Glyma.05G178300, Glyma.08G135400, Glyma.18G017000, Glyma.11G240300","Medtr3g087160, Medtr8g090215","LOC_Os03g09140","Potri.005G075300","Sobic.002G380300, Sobic.001G474200","Seita.2G395400, Seita.9G509800","Sevir.2G406800, Sevir.9G514000","VIT_200s0665g00040","Zm00001d006905"
"P.trichocarpa_v4.1","Potri.005G083600","K",NA,NA,NA,NA,NA,"Inferred","AtCPR5",NA,"AT5G64930","Glyma.06G145800","Medtr3g094760","LOC_Os01g68970, LOC_Os02g53070","Potri.007G082100, Potri.005G083600","Sobic.003G402900, Sobic.004G312100","Seita.5G428700, Seita.1G334300","Sevir.5G434600, Sevir.1G340900","VIT_207s0031g01470","Zm00001d012040, Zm00001d052145"
"P.trichocarpa_v4.1","Potri.005G096600","Fe,Cd,Zn,Co,Mo",NA,NA,NA,NA,NA,"Inferred","AtMYB72,AtMYB10",NA,"AT3G23250, AT3G12820, AT1G56160, AT1G79180, AT1G16490, AT2G31180, AT1G06180","Glyma.08G168100, Glyma.15G259400, Glyma.10G165800, Glyma.20G223400, Glyma.03G250600, Glyma.19G248100","Medtr2g067420, Medtr7g115650","LOC_Os04g43680, LOC_Os02g41510, LOC_Os10g33810","Potri.007G067600, Potri.005G096600, Potri.019G018200","Sobic.006G148000, Sobic.004G219800, Sobic.001G219200","Seita.7G167300, Seita.1G239400, Seita.9G222100","Sevir.7G176600, Sevir.1G244400, Sevir.9G221500","VIT_219s0085g00050","Zm00001d003064, Zm00001d025864, Zm00001d017268, Zm00001d051149, Zm00001d014029, Zm00001d032694"
"P.trichocarpa_v4.1","Potri.005G111200","As",NA,NA,NA,NA,NA,"Inferred","AtHAC1,OsHAC1;1,OsHAC1;2",NA,"AT2G21045, AT2G17850, AT5G66170","Glyma.12G017900, Glyma.01G165300, Glyma.11G077900, Glyma.02G047000, Glyma.16G126500","Medtr2g017630, Medtr2g059890, Medtr5g022390, Medtr8g075420","LOC_Os04g17660, LOC_Os02g01220","Potri.014G131300, Potri.005G111200","Sobic.006G032700, Sobic.004G002600","Seita.2G199200, Seita.1G002000","Sevir.2G207400, Sevir.1G001900","VIT_204s0023g03590, VIT_204s0023g03600","Zm00001d025081"
"P.trichocarpa_v4.1","Potri.005G170800","S,Se",NA,NA,NA,NA,NA,"Inferred","AtMSA1",NA,"AT1G36370, AT1G22020","Glyma.08G187800, Glyma.12G170300","Medtr2g006570, Medtr3g073470","LOC_Os05g35440, LOC_Os01g65410","Potri.001G212000, Potri.002G090200, Potri.005G170800","Sobic.003G373600","Seita.5G398800","Sevir.5G404100","VIT_212s0034g02380, VIT_218s0001g04340","Zm00001d042661, Zm00001d012247"
"P.trichocarpa_v4.1","Potri.005G175500","P,As,Se",NA,NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"P.trichocarpa_v4.1","Potri.005G175700","P,As,Se",NA,NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"P.trichocarpa_v4.1","Potri.005G181000","Fe,Mn,Cd",NA,NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"P.trichocarpa_v4.1","Potri.005G181100","Fe,Mn,Cd",NA,NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"P.trichocarpa_v4.1","Potri.005G189600","Fe",NA,NA,NA,NA,NA,"Inferred","AtMfl1",NA,"AT5G42130","Glyma.02G084300, Glyma.19G036500","Medtr6g034515","LOC_Os01g73420","Potri.005G189600","Sobic.003G439100","Seita.5G464300","Sevir.5G470600","VIT_218s0166g00130","Zm00001d042007"
"P.trichocarpa_v4.1","Potri.005G210300","Fe",NA,NA,NA,NA,NA,"Inferred","AtGA1",NA,"AT4G02780","Glyma.03G154700, Glyma.19G157000, Glyma.03G154500, Glyma.03G154400","Medtr7g011663, Medtr7g011770, Medtr7g011740, Medtr7g094970","LOC_Os02g36210, LOC_Os04g09900, LOC_Os02g17780","Potri.002G052100, Potri.005G210300","Sobic.005G161200, Sobic.001G248600","Seita.1G203600, Seita.2G144900, Seita.9G351400, Seita.9G262400","Sevir.1G206900, Sevir.2G150600, Sevir.9G357500, Sevir.9G265300","VIT_207s0151g01070, VIT_207s0151g01040","Zm00001d024512, Zm00001d048867, Zm00001d048874, Zm00001d029648, Zm00001d032961"
"P.trichocarpa_v4.1","Potri.005G213500","S",NA,NA,NA,NA,NA,"Inferred","AtSULTR3;1",NA,"AT3G51895","Glyma.03G156700, Glyma.19G159000","Medtr7g095430","LOC_Os03g06520","Potri.010G082700, Potri.008G156600, Potri.002G049500, Potri.005G213500","Sobic.001G496800","Seita.9G532700","Sevir.9G537000","VIT_205s0020g03930, VIT_207s0151g00410, VIT_207s0151g00340","Zm00001d027749"
"P.trichocarpa_v4.1","Potri.005G223600","P,As,Se",NA,NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"P.trichocarpa_v4.1","Potri.005G242700","Fe,Zn,Co,Mn",NA,NA,NA,NA,NA,"Inferred","AtFYVE1",NA,"AT1G20110","Glyma.04G023100, Glyma.06G023000, Glyma.17G259400, Glyma.08G248500","Medtr3g114080","LOC_Os06g50840, LOC_Os07g38580","Potri.005G242700, Potri.002G018900","Sobic.010G269100, Sobic.002G348600","Seita.4G283000, Seita.2G363000","Sevir.4G295200, Sevir.2G374000","VIT_218s0001g14750","Zm00001d021878"
"P.trichocarpa_v4.1","Potri.005G256100","P,As",NA,NA,NA,NA,NA,"Inferred","AtPHT1;9",NA,"AT1G76430, AT1G20860","Glyma.07G222700, Glyma.20G021600","Medtr4g083960","LOC_Os02g39750, LOC_Os01g22810, LOC_Os06g21930, LOC_Os06g21920, LOC_Os06g21950","Potri.005G256100, Potri.002G005500","Sobic.010G133300","Seita.4G140700","Sevir.4G173800","VIT_218s0122g00780",""
