"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"Z.mays_RefGen_V4","Zm00001d009447",NA,"Cd",NA,NA,NA,NA,"Inferred","SbSbABCB11",NA,"AT5G46540, AT4G18050","Glyma.13G222000, Glyma.15G090200","Medtr2g018350, Medtr2g018320, Medtr6g078080, Medtr2g018530","LOC_Os01g50100, LOC_Os05g47500, LOC_Os01g50160, LOC_Os01g35030, LOC_Os05g47490","","Sobic.003G267300, Sobic.009G218450, Sobic.003G267700, Sobic.002G156400, Sobic.003G180400","Seita.5G283000, Seita.5G283600, Seita.5G283500, Seita.5G283700, Seita.5G189700, Seita.3G160100","Sevir.5G285600, Sevir.3G163160, Sevir.5G286200, Sevir.5G286066, Sevir.5G286300, Sevir.5G191900, Sevir.3G163501","VIT_210s0003g02540, VIT_210s0003g02580, VIT_210s0003g02570","Zm00001d011644, Zm00001d009448, Zm00001d043762, Zm00001d005528, Zm00001d044564, Zm00001d009447"
"Z.mays_RefGen_V4","Zm00001d009448",NA,"Cd",NA,NA,NA,NA,"Inferred","SbSbABCB11",NA,"AT5G46540, AT4G18050","Glyma.13G222000, Glyma.15G090200","Medtr2g018350, Medtr2g018320, Medtr6g078080, Medtr2g018530","LOC_Os01g50100, LOC_Os05g47500, LOC_Os01g50160, LOC_Os01g35030, LOC_Os05g47490","","Sobic.003G267300, Sobic.009G218450, Sobic.003G267700, Sobic.002G156400, Sobic.003G180400","Seita.5G283000, Seita.5G283600, Seita.5G283500, Seita.5G283700, Seita.5G189700, Seita.3G160100","Sevir.5G285600, Sevir.3G163160, Sevir.5G286200, Sevir.5G286066, Sevir.5G286300, Sevir.5G191900, Sevir.3G163501","VIT_210s0003g02540, VIT_210s0003g02580, VIT_210s0003g02570","Zm00001d011644, Zm00001d009448, Zm00001d043762, Zm00001d005528, Zm00001d044564, Zm00001d009447"
"Z.mays_RefGen_V4","Zm00001d009763",NA,"P,K",NA,NA,NA,NA,"Inferred","AtCAX3",NA,"AT3G51860, AT2G38170","Glyma.18G200500, Glyma.07G149600, Glyma.09G159600, Glyma.03G058500, Glyma.01G122800, Glyma.03G058300, Glyma.18G063200, Glyma.02G226500, Glyma.14G193400","Medtr7g068380, Medtr4g016720, Medtr5g070330","LOC_Os05g51610, LOC_Os01g37690","Potri.016G115500, Potri.006G099900, Potri.009G045800, Potri.001G251200","Sobic.009G257800, Sobic.003G184800","Seita.3G120500, Seita.5G194500","Sevir.3G122500, Sevir.5G196600","VIT_208s0007g02240, VIT_206s0004g06570","Zm00001d009763, Zm00001d044533"
"Z.mays_RefGen_V4","Zm00001d010029",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AtCCC",NA,"AT1G30450","Glyma.15G193400, Glyma.09G085300","Medtr2g048510","LOC_Os08g23440","Potri.001G357600, Potri.011G090900","Sobic.005G040700, Sobic.002G243300, Sobic.009G105900","Seita.5G025700, Seita.3G275800","Sevir.5G024400, Sevir.3G283200","VIT_210s0003g04530","Zm00001d052570, Zm00001d037970, Zm00001d010029"
"Z.mays_RefGen_V4","Zm00001d010309",NA,"Cu",NA,NA,NA,NA,"Inferred","AtSPL7",NA,"AT5G18830","Glyma.13G213400, Glyma.15G099400","Medtr2g020620","LOC_Os05g33810","Potri.010G026200, Potri.008G197000","Sobic.009G135000","Seita.3G246000","Sevir.3G251900","VIT_205s0020g02160","Zm00001d010309"
"Z.mays_RefGen_V4","Zm00001d010913",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AtBTS,OsHRZ1",NA,"AT3G18290","Glyma.09G182600, Glyma.07G093700, Glyma.08G044700, Glyma.05G237500","Medtr6g083900, Medtr8g104410","LOC_Os01g49470","Potri.008G123300, Potri.010G122200, Potri.012G055100","Sobic.009G222200, Sobic.003G262200","Seita.3G156900, Seita.5G276900","Sevir.3G159900, Sevir.5G279700","VIT_201s0011g03820, VIT_217s0000g03440","Zm00001d010913, Zm00001d038916, Zm00001d011622, Zm00001d043805, Zm00001d041834"
"Z.mays_RefGen_V4","Zm00001d010950",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AtGSH1",NA,"AT4G23100","Glyma.01G219900, Glyma.08G014300, Glyma.05G207600","Medtr5g010250, Medtr5g010230, Medtr8g098350","LOC_Os07g27790, LOC_Os05g03820","Potri.001G104500, Potri.003G126900","Sobic.009G029600","Seita.3G050000","Sevir.3G050100","VIT_202s0025g03530","Zm00001d010950"
"Z.mays_RefGen_V4","Zm00001d010954",NA,"Zn",NA,NA,NA,NA,"Inferred","AtMTP3",NA,"AT3G58810","","","LOC_Os05g03780","Potri.001G450900, Potri.011G150600","Sobic.009G029500","Seita.3G049900","Sevir.3G050000","VIT_202s0025g02900","Zm00001d035447, Zm00001d010954"
"Z.mays_RefGen_V4","Zm00001d011473",NA,"K",NA,NA,NA,NA,"Inferred","OsAKT1",NA,"","Glyma.06G071100, Glyma.04G069400, Glyma.17G207900, Glyma.14G126500","Medtr3g107720, Medtr1g011755","LOC_Os01g45990, LOC_Os07g07910","","Sobic.003G237900, Sobic.002G049700","Seita.5G244400, Seita.2G049100","Sevir.5G252300, Sevir.2G053400","VIT_204s0008g04990","Zm00001d011473, Zm00001d044056, Zm00001d018924, Zm00001d018918"
"Z.mays_RefGen_V4","Zm00001d011622",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AtBTS,OsHRZ1",NA,"AT3G18290","Glyma.09G182600, Glyma.07G093700, Glyma.08G044700, Glyma.05G237500","Medtr6g083900, Medtr8g104410","LOC_Os01g49470","Potri.008G123300, Potri.010G122200, Potri.012G055100","Sobic.009G222200, Sobic.003G262200","Seita.3G156900, Seita.5G276900","Sevir.3G159900, Sevir.5G279700","VIT_201s0011g03820, VIT_217s0000g03440","Zm00001d010913, Zm00001d038916, Zm00001d011622, Zm00001d043805, Zm00001d041834"
"Z.mays_RefGen_V4","Zm00001d011644",NA,"Cd",NA,NA,NA,NA,"Inferred","SbSbABCB11",NA,"AT5G46540, AT4G18050","Glyma.13G222000, Glyma.15G090200","Medtr2g018350, Medtr2g018320, Medtr6g078080, Medtr2g018530","LOC_Os01g50100, LOC_Os05g47500, LOC_Os01g50160, LOC_Os01g35030, LOC_Os05g47490","","Sobic.003G267300, Sobic.009G218450, Sobic.003G267700, Sobic.002G156400, Sobic.003G180400","Seita.5G283000, Seita.5G283600, Seita.5G283500, Seita.5G283700, Seita.5G189700, Seita.3G160100","Sevir.5G285600, Sevir.3G163160, Sevir.5G286200, Sevir.5G286066, Sevir.5G286300, Sevir.5G191900, Sevir.3G163501","VIT_210s0003g02540, VIT_210s0003g02580, VIT_210s0003g02570","Zm00001d011644, Zm00001d009448, Zm00001d043762, Zm00001d005528, Zm00001d044564, Zm00001d009447"
"Z.mays_RefGen_V4","Zm00001d011847",NA,"Fe,Mn,Zn,Cu",NA,NA,NA,NA,"Inferred","AtbHLH38,AtbHLH39,OsIRO2",NA,"AT3G56970, AT3G56980, AT2G41240, AT5G04150","Glyma.19G132500, Glyma.19G132600, Glyma.03G130600, Glyma.03G130400","Medtr1g048720, Medtr1g048710, Medtr1g048750, Medtr7g090410","LOC_Os01g72370","Potri.016G037300, Potri.006G037600, Potri.006G037200","Sobic.003G428800","Seita.5G455700, Seita.9G469400","Sevir.5G462400, Sevir.9G473100","VIT_208s0007g05300, VIT_213s0073g00400, VIT_213s0047g00450","Zm00001d042062, Zm00001d011847"
"Z.mays_RefGen_V4","Zm00001d012040",NA,"K",NA,NA,NA,NA,"Inferred","AtCPR5",NA,"AT5G64930","Glyma.06G145800","Medtr3g094760","LOC_Os01g68970, LOC_Os02g53070","Potri.007G082100, Potri.005G083600","Sobic.003G402900, Sobic.004G312100","Seita.5G428700, Seita.1G334300","Sevir.5G434600, Sevir.1G340900","VIT_207s0031g01470","Zm00001d012040, Zm00001d052145"
"Z.mays_RefGen_V4","Zm00001d012102",NA,"Mg,Na",NA,NA,NA,NA,"Inferred","OsMGT1",NA,"","","","LOC_Os01g68040, LOC_Os01g64890","","Sobic.003G395600, Sobic.003G369600","Seita.5G421400, Seita.5G394800","Sevir.5G427000, Sevir.5G400300","","Zm00001d012102, Zm00001d042441"
"Z.mays_RefGen_V4","Zm00001d012247",NA,"S,Se",NA,NA,NA,NA,"Inferred","AtMSA1",NA,"AT1G36370, AT1G22020","Glyma.08G187800, Glyma.12G170300","Medtr2g006570, Medtr3g073470","LOC_Os05g35440, LOC_Os01g65410","Potri.001G212000, Potri.002G090200, Potri.005G170800","Sobic.003G373600","Seita.5G398800","Sevir.5G404100","VIT_212s0034g02380, VIT_218s0001g04340","Zm00001d042661, Zm00001d012247"
"Z.mays_RefGen_V4","Zm00001d012290",NA,"Fe",NA,NA,NA,NA,"Inferred","OsHORZ1",NA,"AT3G54290","Glyma.10G111100, Glyma.10G278400, Glyma.20G111300","Medtr1g050385, Medtr1g111960","LOC_Os01g64250","Potri.010G239700, Potri.008G019700","Sobic.003G364900","Seita.5G390600","Sevir.5G395800","VIT_213s0101g00520","Zm00001d013872, Zm00001d012290, Zm00001d042764"
"Z.mays_RefGen_V4","Zm00001d013243",NA,"Ca,Mg",NA,NA,NA,NA,"Inferred","AtCNGC2/DND1",NA,"AT5G15410","Glyma.08G241600, Glyma.18G263900","Medtr7g012260","LOC_Os03g55100","Potri.017G089800","Sobic.001G083800","Seita.9G085500","Sevir.9G083800","VIT_214s0108g01420","Zm00001d034076, Zm00001d013243"
"Z.mays_RefGen_V4","Zm00001d013296",NA,"S",NA,NA,NA,NA,"Inferred","AtATPS1",NA,"AT3G22890, AT4G14680, AT5G43780","Glyma.10G242600, Glyma.20G151500","Medtr1g102550","LOC_Os03g53230","Potri.010G081200, Potri.008G159000","Sobic.001G094300","Seita.9G096900","Sevir.9G095300","VIT_205s0020g04210","Zm00001d033981, Zm00001d013296"
"Z.mays_RefGen_V4","Zm00001d013655",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","OsNAS2,OsNAS1,OsNAS3",NA,"","","","LOC_Os03g19427, LOC_Os03g19420, LOC_Os07g48980","","Sobic.001G395900, Sobic.001G151400","Seita.9G429600, Seita.9G045300, Seita.2G440200","Sevir.9G433666, Sevir.9G044800, Sevir.2G452700","","Zm00001d047658, Zm00001d047651, Zm00001d047656, Zm00001d047639, Zm00001d028887, Zm00001d028888, Zm00001d022557, Zm00001d013655, Zm00001d033496"
"Z.mays_RefGen_V4","Zm00001d013872",NA,"Fe",NA,NA,NA,NA,"Inferred","OsHORZ1",NA,"AT3G54290","Glyma.10G111100, Glyma.10G278400, Glyma.20G111300","Medtr1g050385, Medtr1g111960","LOC_Os01g64250","Potri.010G239700, Potri.008G019700","Sobic.003G364900","Seita.5G390600","Sevir.5G395800","VIT_213s0101g00520","Zm00001d013872, Zm00001d012290, Zm00001d042764"
"Z.mays_RefGen_V4","Zm00001d014029",NA,"Fe,Cd,Zn,Co,Mo",NA,NA,NA,NA,"Inferred","AtMYB72,AtMYB10",NA,"AT3G23250, AT3G12820, AT1G56160, AT1G79180, AT1G16490, AT2G31180, AT1G06180","Glyma.08G168100, Glyma.15G259400, Glyma.10G165800, Glyma.20G223400, Glyma.03G250600, Glyma.19G248100","Medtr2g067420, Medtr7g115650","LOC_Os04g43680, LOC_Os02g41510, LOC_Os10g33810","Potri.007G067600, Potri.005G096600, Potri.019G018200","Sobic.006G148000, Sobic.004G219800, Sobic.001G219200","Seita.7G167300, Seita.1G239400, Seita.9G222100","Sevir.7G176600, Sevir.1G244400, Sevir.9G221500","VIT_219s0085g00050","Zm00001d003064, Zm00001d025864, Zm00001d017268, Zm00001d051149, Zm00001d014029, Zm00001d032694"
"Z.mays_RefGen_V4","Zm00001d014391",NA,"Mn",NA,NA,NA,NA,"Inferred","AtNRAMP1",NA,"AT1G80830, AT1G15960","Glyma.08G218200, Glyma.07G023600, Glyma.13G369900, Glyma.15G003500","Medtr2g104990","LOC_Os06g46310","Potri.001G044900","Sobic.010G227800","Seita.4G263200","Sevir.4G276100","VIT_209s0070g00210","Zm00001d014391"
"Z.mays_RefGen_V4","Zm00001d014569",NA,"Zn",NA,NA,NA,NA,"Inferred","AtHMA1",NA,"AT4G37270","Glyma.17G166800, Glyma.05G098800","Medtr4g094985","LOC_Os06g47550","Potri.007G049000","Sobic.010G240500","Seita.9G039700, Seita.4G253000","Sevir.9G038966, Sevir.4G265200","VIT_207s0129g01040","Zm00001d014569"
"Z.mays_RefGen_V4","Zm00001d014669",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AtHMA4,AtHMA2,AtHMA3,OsHMA3",NA,"AT2G19110, AT4G30110, AT4G30120","Glyma.09G055600, Glyma.13G099600, Glyma.17G060400","Medtr2g036380, Medtr4g127580","LOC_Os07g12900","Potri.006G076900","Sobic.010G250900, Sobic.002G083100, Sobic.002G083000","Seita.4G242300, Seita.2G090500, Seita.2G090300","Sevir.4G255000, Sevir.2G093100, Sevir.2G092800","VIT_211s0103g00370","Zm00001d014669, Zm00001d019226, Zm00001d005189, Zm00001d005190"
"Z.mays_RefGen_V4","Zm00001d014795",NA,"Zn",NA,NA,NA,NA,"Inferred","AtbZIP23,AtbZIP19",NA,"AT4G35040, AT2G16770","Glyma.11G108100, Glyma.12G033000","Medtr4g073100","LOC_Os06g50310","Potri.004G175200, Potri.009G134900","Sobic.010G267500","Seita.9G059700, Seita.4G281600","Sevir.9G058800, Sevir.4G293800","VIT_203s0038g02420","Zm00001d036400, Zm00001d014795"
"Z.mays_RefGen_V4","Zm00001d014995",NA,"Fe",NA,NA,NA,NA,"Inferred","OsbHLH59",NA,"","","","LOC_Os02g02480","","Sobic.004G012100","Seita.1G118500","Sevir.1G117500","","Zm00001d014995, Zm00001d054038"
"Z.mays_RefGen_V4","Zm00001d015009",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AtAPG5",NA,"AT5G17290","Glyma.14G210200, Glyma.02G240700","Medtr5g076920","LOC_Os02g02570","Potri.017G139700","Sobic.004G013600","Seita.1G112300","Sevir.1G112000","VIT_202s0012g02270","Zm00001d015009"
"Z.mays_RefGen_V4","Zm00001d015133",NA,"Al",NA,NA,NA,NA,"Inferred","OsNRAMP4",NA,"","","","LOC_Os02g03900","","Sobic.004G029900","Seita.1G098100","Sevir.1G097200","","Zm00001d015133"
"Z.mays_RefGen_V4","Zm00001d015829",NA,"Cu",NA,NA,NA,NA,"Inferred","OsHMA4",NA,"","Glyma.03G086000","Medtr8g012390","LOC_Os02g10290","Potri.001G019100","Sobic.004G079900","Seita.1G049200","Sevir.1G048900","VIT_206s0004g01890","Zm00001d015829"
"Z.mays_RefGen_V4","Zm00001d016237",NA,"Al,As",NA,NA,NA,NA,"Inferred","AtNIP1;2,OsNIP1;1",NA,"AT4G19030, AT4G18910","Glyma.05G162500, Glyma.08G120100, Glyma.08G120200, Glyma.05G162600, Glyma.13G224900, Glyma.15G087300","Medtr8g087710, Medtr8g087720, Medtr2g017660, Medtr2g017620, Medtr2g017590, Medtr2g017610, Medtr2g017570","LOC_Os02g13870","Potri.011G072100, Potri.004G063000","Sobic.004G102200","Seita.1G025100","Sevir.1G025500","VIT_210s0003g01830","Zm00001d016237"
"Z.mays_RefGen_V4","Zm00001d017268",NA,"Fe,Cd,Zn,Co,Mo",NA,NA,NA,NA,"Inferred","AtMYB72,AtMYB10",NA,"AT3G23250, AT3G12820, AT1G56160, AT1G79180, AT1G16490, AT2G31180, AT1G06180","Glyma.08G168100, Glyma.15G259400, Glyma.10G165800, Glyma.20G223400, Glyma.03G250600, Glyma.19G248100","Medtr2g067420, Medtr7g115650","LOC_Os04g43680, LOC_Os02g41510, LOC_Os10g33810","Potri.007G067600, Potri.005G096600, Potri.019G018200","Sobic.006G148000, Sobic.004G219800, Sobic.001G219200","Seita.7G167300, Seita.1G239400, Seita.9G222100","Sevir.7G176600, Sevir.1G244400, Sevir.9G221500","VIT_219s0085g00050","Zm00001d003064, Zm00001d025864, Zm00001d017268, Zm00001d051149, Zm00001d014029, Zm00001d032694"
"Z.mays_RefGen_V4","Zm00001d017427",NA,"Fe,Zn,Cu,Mn",NA,NA,NA,NA,"Inferred","AtYSL1,AtYSL3,OsYSL2,OsYSL9,OsYSL16",NA,"AT5G24380, AT5G53550, AT4G24120","Glyma.17G191300, Glyma.06G133000, Glyma.09G127600, Glyma.04G231900, Glyma.13G001500, Glyma.20G068300, Glyma.20G217400, Glyma.10G172900","Medtr3g092090, Medtr1g077840","LOC_Os04g45860, LOC_Os04g45900, LOC_Os02g43370","Potri.011G055224, Potri.001G084400, Potri.001G082400","Sobic.006G164200, Sobic.006G164300, Sobic.004G299700","Seita.7G185000, Seita.7G185100, Seita.1G254200, Seita.1G254100","Sevir.7G195100, Sevir.7G195200, Sevir.1G258500, Sevir.1G258400","VIT_216s0098g01250, VIT_202s0025g02500, VIT_202s0025g02510","Zm00001d002797, Zm00001d025977, Zm00001d017427"
"Z.mays_RefGen_V4","Zm00001d017429",NA,"Fe",NA,NA,NA,NA,"Inferred","OsYSL15",NA,"","","","LOC_Os02g43410","","Sobic.004G299600, Sobic.004G299500","Seita.1G254300","Sevir.1G258600","","Zm00001d017429"
"Z.mays_RefGen_V4","Zm00001d017455",NA,"Mg,P,S,Co",NA,NA,NA,NA,"Inferred","AtUCC2",NA,"AT2G44790, AT3G60270, AT3G60280","Glyma.03G109900, Glyma.07G115000","Medtr8g007035, Medtr8g007020","LOC_Os04g46130, LOC_Os02g43660","Potri.014G049600","Sobic.006G166800, Sobic.004G297900","Seita.2G157200, Seita.1G256300","Sevir.7G198000, Sevir.1G260500","VIT_215s0021g01390","Zm00001d002772, Zm00001d051333, Zm00001d017455"
"Z.mays_RefGen_V4","Zm00001d017584",NA,"P",NA,NA,NA,NA,"Inferred","AtLPCAT1",NA,"AT1G12640, AT1G63050","Glyma.05G049500, Glyma.17G131500","Medtr4g102750","LOC_Os02g45344","Potri.001G110100, Potri.003G121700","Sobic.004G283600","Seita.1G270400","Sevir.1G275100","VIT_202s0025g04410","Zm00001d017584"
"Z.mays_RefGen_V4","Zm00001d017597",NA,"Zn",NA,NA,NA,NA,"Inferred","AtVPT1,PHT5;1",NA,"AT4G11810, AT4G22990, AT1G63010","Glyma.18G228700, Glyma.09G263400, Glyma.09G128500, Glyma.16G176100, Glyma.20G163400","Medtr7g076520, Medtr1g099580, Medtr6g053510","LOC_Os06g03860, LOC_Os04g48390, LOC_Os02g45520","Potri.014G078000, Potri.003G120600, Potri.001G111400","Sobic.010G019000, Sobic.006G185500, Sobic.004G282900","Seita.4G018900, Seita.2G279600, Seita.7G205800, Seita.1G271500","Sevir.4G018800, Sevir.2G289500, Sevir.7G217700, Sevir.1G276200","VIT_215s0048g01090, VIT_202s0025g04540","Zm00001d045491, Zm00001d036020, Zm00001d002614, Zm00001d017597"
"Z.mays_RefGen_V4","Zm00001d017748",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AtTSC10a",NA,"AT5G19200, AT3G06060","Glyma.15G105400, Glyma.13G207200, Glyma.12G174300","Medtr3g098750, Medtr2g022600","LOC_Os02g47350","Potri.010G191800","Sobic.004G269700, Sobic.004G337066","Seita.1G287300","Sevir.1G292400","VIT_205s0020g02840","Zm00001d051552, Zm00001d017748"
"Z.mays_RefGen_V4","Zm00001d018037",NA,"Se",NA,NA,NA,NA,"Inferred","OsLSI1",NA,"","Glyma.18G259500, Glyma.09G238200","Medtr7g010650","LOC_Os06g12310, LOC_Os02g51110","Potri.017G083300","Sobic.010G092600, Sobic.004G238100","Seita.4G098700, Seita.1G318800","Sevir.4G097800, Sevir.1G325000","VIT_214s0108g00700","Zm00001d044826, Zm00001d037228, Zm00001d052261, Zm00001d018037"
"Z.mays_RefGen_V4","Zm00001d018242",NA,"Mn,Fe",NA,NA,NA,NA,"Inferred","AtMTP8,OsMTP8.2,OsMTP8.1",NA,"AT3G58060","Glyma.03G146700, Glyma.14G206600, Glyma.18G050400","Medtr5g075680, Medtr3g062610","LOC_Os02g53490, LOC_Os03g12530","Potri.001G010200, Potri.001G010000, Potri.001G010300","Sobic.004G315400, Sobic.001G445000","Seita.1G337100, Seita.9G478600","Sevir.1G343700, Sevir.9G482200","VIT_208s0007g06760, VIT_206s0004g01110","Zm00001d018242, Zm00001d028344"
"Z.mays_RefGen_V4","Zm00001d018445",NA,"P",NA,NA,NA,NA,"Inferred","AtPHO1,OsPHO1;2",NA,"AT3G23430","Glyma.02G003700, Glyma.10G004800, Glyma.20G206900, Glyma.10G183300","Medtr1g041695, Medtr1g075640","LOC_Os02g56510","Potri.008G169400, Potri.010G069000","Sobic.004G339800","Seita.1G360400","Sevir.1G367100","VIT_205s0049g01410","Zm00001d051945, Zm00001d018445"
"Z.mays_RefGen_V4","Zm00001d018799",NA,"K",NA,NA,NA,NA,"Inferred","AtCIPK23",NA,"AT1G30270","Glyma.09G089700","Medtr2g049790","LOC_Os07g05620","Potri.018G119200, Potri.006G062800","Sobic.002G034700","Seita.2G032200","Sevir.2G037000","VIT_210s0003g04020","Zm00001d018799"
"Z.mays_RefGen_V4","Zm00001d018918",NA,"K",NA,NA,NA,NA,"Inferred","OsAKT1",NA,"","Glyma.06G071100, Glyma.04G069400, Glyma.17G207900, Glyma.14G126500","Medtr3g107720, Medtr1g011755","LOC_Os01g45990, LOC_Os07g07910","","Sobic.003G237900, Sobic.002G049700","Seita.5G244400, Seita.2G049100","Sevir.5G252300, Sevir.2G053400","VIT_204s0008g04990","Zm00001d011473, Zm00001d044056, Zm00001d018924, Zm00001d018918"
"Z.mays_RefGen_V4","Zm00001d018924",NA,"K",NA,NA,NA,NA,"Inferred","OsAKT1",NA,"","Glyma.06G071100, Glyma.04G069400, Glyma.17G207900, Glyma.14G126500","Medtr3g107720, Medtr1g011755","LOC_Os01g45990, LOC_Os07g07910","","Sobic.003G237900, Sobic.002G049700","Seita.5G244400, Seita.2G049100","Sevir.5G252300, Sevir.2G053400","VIT_204s0008g04990","Zm00001d011473, Zm00001d044056, Zm00001d018924, Zm00001d018918"
"Z.mays_RefGen_V4","Zm00001d019048",NA,"P",NA,NA,NA,NA,"Inferred","OsPHF1",NA,"AT3G52190","Glyma.20G190300, Glyma.10G200200","Medtr1g090873","LOC_Os07g09000, LOC_Os03g58570","Potri.010G232400, Potri.008G029200","Sobic.002G060900, Sobic.001G054000, Sobic.010G227900","Seita.2G065200, Seita.9G052300","Sevir.2G068500, Sevir.9G051400","VIT_213s0074g00010","Zm00001d019048, Zm00001d034487"
"Z.mays_RefGen_V4","Zm00001d019062",NA,"Na",NA,NA,NA,NA,"Inferred","AtAHA4",NA,"AT5G62670, AT3G47950","Glyma.13G065400, Glyma.19G019200, Glyma.06G189900, Glyma.04G174800, Glyma.17G096100, Glyma.05G030700","Medtr6g011310, Medtr4g107500","LOC_Os03g48310, LOC_Os12g44150, LOC_Os07g09340","Potri.012G071600, Potri.015G066000","Sobic.001G132400, Sobic.008G190500, Sobic.002G065000","Seita.9G134900, Seita.3G406700, Seita.2G068600","Sevir.9G133800, Sevir.3G424800, Sevir.2G071500","VIT_214s0066g02550, VIT_217s0000g05540","Zm00001d033552, Zm00001d041214, Zm00001d019062"
"Z.mays_RefGen_V4","Zm00001d019226",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AtHMA4,AtHMA2,AtHMA3,OsHMA3",NA,"AT2G19110, AT4G30110, AT4G30120","Glyma.09G055600, Glyma.13G099600, Glyma.17G060400","Medtr2g036380, Medtr4g127580","LOC_Os07g12900","Potri.006G076900","Sobic.010G250900, Sobic.002G083100, Sobic.002G083000","Seita.4G242300, Seita.2G090500, Seita.2G090300","Sevir.4G255000, Sevir.2G093100, Sevir.2G092800","VIT_211s0103g00370","Zm00001d014669, Zm00001d019226, Zm00001d005189, Zm00001d005190"
"Z.mays_RefGen_V4","Zm00001d019227",NA,"Zn,Mn",NA,NA,NA,NA,"Inferred","AtZIP5,AtZIP1,OsZIP3,OsZIP5",NA,"AT3G12750, AT1G05300, AT2G32270","Glyma.13G004400, Glyma.20G063100, Glyma.15G262800, Glyma.08G164400","Medtr3g081690, Medtr3g082050, Medtr3g081640, Medtr3g081580, Medtr2g064310, Medtr3g073900, Medtr3g073950","LOC_Os07g12890, LOC_Os05g39560, LOC_Os05g39540, LOC_Os04g52310, LOC_Os08g10630","Potri.006G006800, Potri.006G006600, Potri.006G006902, Potri.010G173300, Potri.008G083100","Sobic.002G083200, Sobic.009G170500, Sobic.007G064900, Sobic.006G212200, Sobic.007G075700","Seita.2G090600, Seita.3G208000, Seita.3G208100, Seita.7G190900, Seita.7G234300, Seita.6G026600","Sevir.2G093200, Sevir.3G213300, Sevir.3G213400, Sevir.7G203200, Sevir.7G245900, Sevir.6G025100","VIT_203s0017g02170, VIT_203s0017g02190, VIT_219s0085g00740, VIT_219s0085g00795","Zm00001d019228, Zm00001d038437, Zm00001d002343, Zm00001d049375, Zm00001d049993, Zm00001d019227"
"Z.mays_RefGen_V4","Zm00001d019228",NA,"Zn,Mn",NA,NA,NA,NA,"Inferred","AtZIP5,AtZIP1,OsZIP3,OsZIP5",NA,"AT3G12750, AT1G05300, AT2G32270","Glyma.13G004400, Glyma.20G063100, Glyma.15G262800, Glyma.08G164400","Medtr3g081690, Medtr3g082050, Medtr3g081640, Medtr3g081580, Medtr2g064310, Medtr3g073900, Medtr3g073950","LOC_Os07g12890, LOC_Os05g39560, LOC_Os05g39540, LOC_Os04g52310, LOC_Os08g10630","Potri.006G006800, Potri.006G006600, Potri.006G006902, Potri.010G173300, Potri.008G083100","Sobic.002G083200, Sobic.009G170500, Sobic.007G064900, Sobic.006G212200, Sobic.007G075700","Seita.2G090600, Seita.3G208000, Seita.3G208100, Seita.7G190900, Seita.7G234300, Seita.6G026600","Sevir.2G093200, Sevir.3G213300, Sevir.3G213400, Sevir.7G203200, Sevir.7G245900, Sevir.6G025100","VIT_203s0017g02170, VIT_203s0017g02190, VIT_219s0085g00740, VIT_219s0085g00795","Zm00001d019228, Zm00001d038437, Zm00001d002343, Zm00001d049375, Zm00001d049993, Zm00001d019227"
"Z.mays_RefGen_V4","Zm00001d019327",NA,"Fe,Mn,Cd",NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"Z.mays_RefGen_V4","Zm00001d019536",NA,"P",NA,NA,NA,NA,"Inferred","AtPHR1",NA,"AT5G29000, AT3G04450, AT2G20400, AT4G28610","Glyma.10G039700, Glyma.13G126200, Glyma.19G167500, Glyma.03G166400, Glyma.19G247600, Glyma.03G250000","Medtr7g098250, Medtr1g080330, Medtr7g115530","LOC_Os07g25710","Potri.002G257800.11.p, Potri.013G048000, Potri.019G020900","Sobic.002G121600","Seita.2G118400","Sevir.2G125000","VIT_207s0005g04120, VIT_214s0036g01380","Zm00001d019536"
